This surface was created by:		
1)Scanning the Mckay 1969 Snowmelt tables from the original paper		
2)Digitizing the scanned immage into XYZ values		
3)interpolating a uniform 100x100 grid using TableCurve 3d 		
X = temperature in Celcius		
Y = julain day		
z= Snow melt potential in mm		
X_temp	 Y_Jday	Grid_pot
0.15712682	155.1351242	1.17655772
0.15712682	158.8238717	1.17268401
0.15712682	162.5126192	1.16881147
0.15712682	166.2013668	1.16493991
0.15712682	169.8901143	1.16106915
0.15712682	173.5788618	1.15719898
0.15712682	177.2676093	1.15332923
0.15712682	180.9563568	1.14945969
0.15712682	184.6451044	1.14559019
0.15712682	188.3338519	1.14172053
0.15712682	192.0225994	1.13785052
0.15712682	195.7113469	1.13397997
0.15712682	199.4000945	1.13010869
0.15712682	203.088842	1.12623649
0.15712682	206.7775895	1.12236319
0.15712682	210.466337	1.11848858
0.15712682	214.1550845	1.11461248
0.15712682	217.8438321	1.11073471
0.15712682	221.5325796	1.10685506
0.15712682	225.2213271	1.10297335
0.15712682	228.9100746	1.0990894
0.15712682	232.5988222	1.095203
0.15712682	236.2875697	1.09131397
0.15712682	239.9763172	1.08742213
0.15712682	243.6650647	1.08352727
0.15712682	247.3538122	1.07962921
0.15712682	251.0425598	1.07572776
0.15712682	254.7313073	1.07182273
0.15712682	258.4200548	1.06791393
0.15712682	262.1088023	1.06400117
0.15712682	265.7975499	1.06008426
0.15712682	269.4862974	1.05616301
0.15712682	273.1750449	1.04224643
0.15712682	276.8637924	0.99771185
0.15712682	280.55254	0.91865172
0.15712682	284.2412875	0.80156776
0.15712682	287.930035	0.64337608
0.15712682	291.6187825	0.48952675
0.15712682	295.30753	0.37220377
0.15712682	298.9962776	0.28334231
0.15712682	302.6850251	0.2043559
0.15712682	306.3737726	0.13417157
0.15712682	310.0625201	0.06004221
0.15712682	313.7512677	0.00524321
0.15712682	317.4400152	0
0.15712682	321.1287627	0
0.15712682	324.8175102	0
0.15712682	328.5062577	0
0.15712682	332.1950053	0
0.15712682	335.8837528	0
0.15712682	339.5725003	0
0.15712682	343.2612478	0
0.15712682	346.9499954	0
0.15712682	350.6387429	0
